banda,poblacion,pct_poblacion,pct_estimado_por_desvio
<= 30 min,360358,62.94001138781085,3.958563428590457
<= 60 min,65066,11.364406454024333,29.877355300771523
<= 120 min,64755,11.310087294905875,37.58010964404293
> 120 min,82363,14.385494863258941,56.71600111700642
