distrito,t_min_ponderado,pct_estimado
MANU,362.16379200253886,100.0
FITZCARRALD,329.26001701975747,100.0
IÑAPARI,282.25350576530167,90.01512859304084
HUEPETUHE,230.64586532939782,98.24868651488616
SAN ISIDRO,221.24342949338998,53.84615384615385
MADRE DE DIOS,207.01984940424606,100.0
AYAVI,206.3561345527167,16.666666666666668
OCOYO,203.7921031277798,53.57142857142857
QUERCO,194.88629431942294,76.66666666666667
SANTIAGO DE CHOCORVOS,193.7509250763837,33.333333333333336
IBERIA,188.19668568289794,27.586206896551722
SAN FRANCISCO DE SANGAYAICO,188.08257469862525,12.56281407035176
CAPILLAS,187.3907639426022,0.0
QUITO-ARMA,179.80726025000016,0.0
SANTIAGO DE QUIRAHUARA,179.47963202124708,23.076923076923077
TAHUAMANU,173.55967284659602,90.92143549951503
SANTO DOMINGO DE CAPILLAS,171.58944625216765,16.666666666666668
TINTAY PUNCU,171.24389090585595,17.391304347826086
HUAMATAMBO,170.19190451818156,0.0
SURCUBAMBA,167.30326756480935,0.0
INAMBARI,164.0809510455727,25.0
HUACHOS,160.04134299444445,0.0
SAN JUAN,159.94147453933422,0.0
MOLLEPAMPA,158.86092288658983,3.1746031746031744
LARAMARCA,155.84760412432422,0.0
CORDOVA,155.56972727368444,0.0
HUAYTARA,153.7002865720675,0.0
HUAYACUNDO ARMA,153.02742487716068,0.0
TANTARA,151.52155443749984,0.0
COCAS,146.3479713127122,0.0
SAN ANTONIO DE CUSICANCHA,145.4741086672418,0.0
TAMBO,144.5674339825363,6.278026905829597
TICRAPO,141.85072691223596,4.71976401179941
ARMA,124.23334978642248,11.889596602972398
SAN MARCOS DE ROCCHAC,119.68689273142986,0.0
AURAHUA,118.83531258940299,34.42906574394463
SAN PEDRO DE CORIS,115.78447053206673,12.407407407407407
CHUPAMARCA,113.85673591048936,6.153846153846154
CASTROVIRREYNA,108.93353961001272,6.329113924050633
PILPICHACA,106.76969604229845,8.635917566241414
SALCAHUASI,105.5596127428574,0.0
PACHAMARCA,105.33931412168877,0.0
HUAYLLAHUARA,95.25478565555608,0.0
SANTO TOMAS DE PATA,93.46578660000011,0.0
CHINCHO,93.00256958333317,0.0
CHINCHIHUASI,91.62164286134187,2.7777777777777777
HUACHOCOLPA,88.09443833180998,10.206422018348624
CHURCAMPA,87.31076952853485,1.1409642988590356
LOCROJA,87.1877139236673,0.0
SAN MIGUEL DE MAYOCC,86.7832756214287,0.0
PAUCARBAMBA,86.35089945200009,0.0
LABERINTO,85.5388351223486,31.74198250728863
CASITAS,85.24075876614835,80.62379243720673
SAN ANTONIO DE ANTAPARCO,84.26803902243584,0.0
LARIA,83.33819204999993,0.0
MOYA,82.28224146207798,12.5
SANTA ANA,78.28158184821793,5.454545454545454
VILCA,77.84381806250008,0.0
CONAYCA,77.11250507500007,0.0
QUISHUAR,77.01788582500004,0.0
EL CARMEN,75.90490521063832,0.0
HUARIBAMBA,72.38485707456294,12.894736842105264
ACOBAMBILLA,72.27842569287662,11.618257261410788
CUENCA,72.13527033671639,35.294117647058826
PILCHACA,69.70587572142863,0.0
ANCO,69.32594510096528,0.0
SALCABAMBA,68.74869236250011,0.0
MANTA,68.59039879750003,0.0
JULCAMARCA,68.56384520944437,0.0
COLCABAMBA,67.96617720198961,3.389830508474576
LA MERCED,65.39460588127567,50.0
MARISCAL CACERES,63.28642369999976,0.0
ZORRITOS,56.84816838102037,34.36230706742486
LAS PIEDRAS,56.34702910243518,15.177708274097242
CONGALLA,56.197268839306446,4.571428571428571
IZCUCHACA,55.96822322497224,0.0
NUEVO OCCORO,52.88061703630879,15.151515151515152
ACOSTAMBO,49.097798244006576,6.666666666666667
HUANDO,47.477030639696736,4.166666666666667
MATAPALO,47.41536240467482,64.36616833913578
ACORIA,47.12621675654159,16.125564394753816
SECCLLA,46.71585247499998,0.0
ÑAHUIMPUQUIO,42.575149049999965,0.0
MARCAS,38.03466642505363,5.029940119760479
ANDABAMBA,36.69470146818179,0.0
PAMPAS,35.94149955079268,7.6923076923076925
PAUCARA,35.50416246024336,3.8477116241393277
CALLANMARCA,34.84542018333334,0.0
PAZOS,32.94760775779182,0.0
AHUAYCHA,32.112146816666545,0.0
LIRCAY,31.99185325571429,0.0
YAULI,31.599100817196227,48.15393195761294
PALCA,31.552771941666673,0.0
HUANCA-HUANCA,30.88574061414778,25.0
ANTA,30.473235599639054,4.343807763401109
SAN JACINTO,28.669030384017173,3.3908387864366447
ANCHONGA,28.033212424920908,0.0
PAMPAS DE HOSPITAL,27.025529797795375,1.848560255954497
TAMBOPATA,26.775713933258317,23.48428368726101
CCOCHACCASA,25.72785310737805,0.0
ROSARIO,25.07450561459287,14.93383742911153
PAPAYAL,24.52545550285658,5.648854961832061
CAJA,22.377744448374326,7.142857142857143
ACRAQUIA,20.86083912873563,0.0
ASCENSION,19.897206137499992,0.0
AGUAS VERDES,18.29194152909218,7.312972821518633
HUAYLLAY GRANDE,15.937373516666666,0.0
LA CRUZ,15.387793367168534,3.445958917258591
ZARUMILLA,15.174376353372018,1.491746484613817
ACOBAMBA,13.406698365625,0.0
POMACOCHA,13.31669505067122,22.294372294372295
SAN JUAN DE LA VIRGEN,12.873629239568183,23.07829181494662
DANIEL HERNANDEZ,9.283216629770013,0.0
HUANCAVELICA,8.218341030393157,7.156443176414646
CORRALES,7.6666254471831,1.6653992395437263
TUMBES,3.6620849630730388,1.0754975452449225
ASCENCION,,
CAPILLA,,
CHINCHIHUAS,,
FRONTERA,,
HUANCA HUANCA,,
HUAYCUNDO ARMA,,
INAMBARI    1/,,
LAS PIEDRAS   2/,,
PILPICANCHA,,
PUCHACA,,
