provincia,t_min_ponderado,pct_estimado
MANU,247.78423747835183,99.40214524353789
TAHUAMANU,199.40551331969763,59.39178259462957
HUAYTARA,159.42343524190892,15.320500099226036
CASTROVIRREYNA,133.73111020637262,7.852392190517056
CHURCAMPA,87.24457711182826,1.7859327217125383
CONTRALMIRANTE VILLAR,62.84131420747801,44.127243066884176
TAYACAJA,55.870274760130194,2.558409446434879
TAMBOPATA,51.80541534426266,23.374966121600867
ANGARAES,37.53569091071369,0.7894044382071748
ACOBAMBA,28.760192486471727,5.8561347034790145
HUANCAVELICA,27.348231534784112,16.465663311073456
ZARUMILLA,20.246477451926026,9.403325836570572
TUMBES,7.746567760291089,2.161556141039296
MASUCO,,
